LOAD,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,heure,date
109.3,43,37,43,58,55,41,37,64,46,37,43,48,37,46,38,60,50,51,41,41,44,37,37,38,38,3,2005-03-13
115.8,42,37,41,56,59,42,37,64,43,39,40,46,39,48,41,58,45,50,41,40,43,37,37,43,35,4,2005-03-13
123.9,42,36,40,55,59,42,43,61,43,41,42,48,37,47,41,54,43,46,39,40,42,36,37,41,36,5,2005-03-13
132.1,41,36,38,55,59,43,40,55,45,43,43,41,41,48,39,54,41,48,39,42,40,37,37,42,36,6,2005-03-13
141.5,41,46,41,49,61,45,47,59,45,50,47,48,48,52,47,58,46,53,45,49,39,46,43,48,48,7,2005-03-13
144.8,48,46,53,54,66,47,53,64,55,54,52,54,54,56,53,64,52,57,50,55,40,54,54,54,52,8,2005-03-13
137,54,52,59,60,70,48,57,68,61,59,56,55,59,60,56,68,57,59,55,60,42,59,61,58,56,9,2005-03-13
120.1,60,55,70,65,73,50,61,72,61,64,58,59,61,62,61,71,63,62,59,67,43,63,64,60,59,10,2005-03-13
105.5,64,57,71,69,73,51,63,73,63,66,62,63,63,62,63,73,64,61,63,70,45,64,70,65,63,11,2005-03-13
99.6,67,61,72,72,77,51,66,79,64,68,65,68,63,59,67,75,68,61,64,72,46,66,72,67,65,12,2005-03-13
95.9,69,61,72,74,79,51,68,79,64,72,68,68,64,62,70,76,72,62,70,70,45,70,75,68,67,13,2005-03-13
92.5,71,63,70,75,79,50,70,81,63,73,69,70,66,53,71,74,75,61,70,71,45,72,75,70,69,14,2005-03-13
89.8,71,59,68,76,79,48,67,81,64,73,70,70,63,52,72,72,77,60,70,70,44,72,75,72,68,15,2005-03-13
90.8,71,57,68,75,79,46,65,81,63,73,71,70,59,51,69,69,79,59,70,65,43,72,75,72,68,16,2005-03-13
96.8,68,54,65,74,73,43,62,79,61,68,70,70,59,50,66,64,75,58,64,61,42,61,73,68,65,17,2005-03-13
114.3,65,48,63,71,70,43,53,70,54,61,61,63,54,50,63,62,73,55,59,58,41,54,68,62,57,18,2005-03-13
128.2,66,46,60,68,66,43,51,66,46,57,56,55,54,51,59,61,72,51,54,55,42,48,64,60,52,19,2005-03-13
130.1,66,46,57,65,66,44,50,66,45,54,52,52,52,51,56,62,61,51,52,54,42,46,66,55,48,20,2005-03-13
127,64,46,52,58,63,44,49,70,45,48,50,48,46,51,53,62,55,52,50,53,41,46,64,51,46,21,2005-03-13
118.3,58,46,50,53,61,45,48,68,43,46,50,48,45,52,49,61,54,53,50,51,41,46,52,48,45,22,2005-03-13
108.9,52,46,49,52,61,44,48,57,43,45,47,48,45,52,46,64,52,50,48,49,42,45,48,45,44,23,2005-03-13
103.1,50,43,47,52,61,43,46,52,43,43,47,48,41,53,45,57,52,50,46,49,41,45,46,45,43,0,2005-03-14
102.8,46,45,46,49,54,42,46,50,41,43,46,45,41,52,44,49,48,49,45,48,40,45,46,45,42,1,2005-03-14
105.1,45,41,46,48,52,42,45,48,41,43,44,44,41,50,43,47,46,47,45,46,38,45,45,43,42,2,2005-03-14
109.1,45,43,44,47,48,40,45,46,39,43,43,43,39,49,42,47,46,47,45,46,38,45,46,43,42,3,2005-03-14
117,41,43,43,47,48,40,45,46,39,43,43,41,37,49,41,46,46,47,45,45,38,45,45,41,41,4,2005-03-14
132.5,44,39,42,46,48,40,45,46,39,39,42,39,37,50,41,45,45,47,43,46,37,41,43,41,39,5,2005-03-14
159.2,43,39,42,46,48,38,44,46,39,39,41,39,37,46,40,45,45,47,43,45,37,41,43,40,40,6,2005-03-14
163.3,43,39,42,45,48,38,43,46,39,41,40,39,37,44,39,46,45,47,43,46,37,43,41,39,40,7,2005-03-14
156.9,42,37,42,46,43,39,41,45,39,41,39,39,37,45,39,45,45,45,43,43,38,43,41,39,39,8,2005-03-14
157,43,37,43,46,43,38,42,45,39,41,44,39,37,44,40,45,45,43,45,42,39,41,43,40,39,9,2005-03-14
156.9,43,39,46,46,46,39,42,46,39,41,42,39,37,44,40,44,46,45,45,43,40,43,43,40,40,10,2005-03-14
153.3,43,39,46,47,48,41,43,46,45,43,47,39,39,43,41,45,46,45,46,44,41,45,43,42,41,11,2005-03-14
144.3,44,45,46,47,48,43,43,46,48,43,45,39,41,43,42,46,46,45,43,45,41,45,45,42,43,12,2005-03-14
135.4,44,46,48,47,48,45,44,50,52,43,45,41,41,44,43,47,46,45,45,45,43,45,45,44,43,13,2005-03-14
129.2,46,46,47,48,48,45,44,52,52,45,48,43,43,43,44,47,48,45,46,46,42,46,46,44,44,14,2005-03-14
124.3,47,46,49,50,50,47,46,50,50,45,47,45,43,42,44,47,52,46,45,46,42,48,46,45,46,15,2005-03-14
124.2,47,46,48,50,50,47,46,48,48,46,47,45,43,42,44,47,52,45,46,46,41,48,46,45,44,16,2005-03-14
133.8,47,46,46,49,48,43,44,46,45,45,47,45,43,42,43,47,52,44,46,46,39,45,46,44,43,17,2005-03-14
159.8,43,39,43,45,48,38,41,46,41,43,47,39,37,41,37,45,48,40,45,44,39,39,43,40,41,18,2005-03-14
174.7,41,37,41,47,48,37,41,45,39,43,43,37,37,41,34,42,43,40,41,43,37,39,41,36,35,19,2005-03-14
178,39,34,40,42,46,35,37,43,39,39,38,36,36,41,34,42,43,38,39,41,36,37,39,36,32,20,2005-03-14
173.9,37,34,38,42,46,34,35,41,39,37,39,36,34,40,32,39,43,36,37,37,34,37,36,34,33,21,2005-03-14
162.9,44,32,38,42,43,31,34,39,39,36,36,34,32,40,31,37,39,34,37,35,34,34,36,32,33,22,2005-03-14
152.2,48,32,38,40,43,31,30,37,37,36,39,34,32,41,30,37,37,35,41,34,37,34,36,32,30,23,2005-03-14
147.2,45,28,34,39,41,30,31,37,36,34,38,34,32,42,29,38,39,35,39,33,39,34,32,30,31,0,2005-03-15
148.2,42,32,37,38,41,29,31,36,36,32,37,30,37,42,32,37,36,34,36,32,39,34,32,30,31,1,2005-03-15
151,40,32,36,36,37,35,31,36,36,32,36,28,36,42,36,34,36,35,39,31,38,34,30,29,30,2,2005-03-15
154.5,38,32,35,37,37,35,30,36,36,34,35,28,32,42,33,34,36,36,34,30,38,32,30,29,32,3,2005-03-15
160.9,36,32,34,37,37,35,30,36,32,32,34,30,32,41,34,35,36,35,30,34,37,30,30,28,30,4,2005-03-15
175.4,32,32,31,36,36,32,30,34,32,32,34,28,32,41,34,35,36,36,30,31,36,30,28,31,29,5,2005-03-15
200.8,32,32,31,36,36,32,30,36,32,34,32,28,32,42,33,33,36,37,30,33,35,34,30,31,31,6,2005-03-15
187.6,33,37,33,40,43,38,37,41,36,37,36,36,36,44,37,41,39,42,36,37,38,37,36,35,36,7,2005-03-15
157.6,39,39,36,43,48,41,42,45,39,41,40,37,39,45,41,45,45,45,41,43,39,43,41,40,41,8,2005-03-15
139.1,45,45,42,44,50,44,45,48,43,43,43,41,43,46,43,49,45,49,45,47,42,45,45,43,43,9,2005-03-15
126.3,46,46,42,48,54,47,48,54,45,46,45,43,45,46,48,52,48,51,48,50,44,48,46,48,48,10,2005-03-15
117.3,50,50,44,49,55,50,51,54,48,48,47,48,46,47,50,55,50,51,52,52,45,54,50,49,49,11,2005-03-15
109.4,52,52,47,51,57,51,51,55,50,50,48,48,46,47,50,54,52,54,52,54,47,54,52,51,50,12,2005-03-15
102.9,54,52,46,52,59,52,53,59,55,54,50,48,46,47,52,54,54,55,55,56,49,54,54,53,52,13,2005-03-15
97.6,54,54,50,55,59,53,54,59,55,54,52,50,46,48,55,54,55,55,55,56,49,54,55,55,54,14,2005-03-15
95.4,54,54,51,55,59,53,54,59,55,54,52,54,45,49,52,53,55,51,55,56,49,54,55,56,54,15,2005-03-15
98.7,54,54,51,54,59,52,54,59,50,54,53,54,45,45,53,52,55,49,55,56,46,54,55,54,53,16,2005-03-15
110.4,54,52,50,52,55,43,51,55,48,52,51,52,45,43,50,50,55,48,54,50,43,54,54,52,50,17,2005-03-15
137.8,48,45,48,47,54,39,45,52,46,46,50,45,45,40,43,47,52,46,50,45,43,46,50,47,41,18,2005-03-15
154.6,46,39,46,48,50,38,43,50,45,45,48,43,43,39,41,45,48,45,46,43,40,45,43,43,37,19,2005-03-15
160.1,46,39,46,46,48,35,43,50,45,45,46,43,41,35,39,43,50,43,47,41,37,43,43,40,36,20,2005-03-15
159.4,43,37,45,46,48,38,39,46,45,41,47,41,41,36,40,42,48,43,48,41,37,41,41,42,33,21,2005-03-15
150,43,34,43,49,43,36,37,46,45,41,45,41,41,35,42,43,46,39,47,37,36,39,41,44,36,22,2005-03-15
139.9,43,34,42,49,43,38,37,45,43,41,46,39,41,34,41,42,46,38,46,37,35,41,41,42,35,23,2005-03-15
132.1,45,36,41,49,46,36,35,45,43,39,47,39,41,35,43,39,46,38,46,37,37,43,41,45,38,0,2005-03-16
128.9,45,37,41,49,48,37,34,45,43,41,47,43,42,34,42,42,45,38,46,39,39,45,41,43,39,1,2005-03-16
127.5,43,37,40,49,48,39,36,45,41,41,45,41,42,36,42,47,46,40,46,38,40,43,43,43,40,2,2005-03-16
127.5,43,39,39,47,48,40,38,45,39,41,44,45,42,40,41,46,46,42,45,41,41,45,43,44,40,3,2005-03-16
131,43,39,38,44,46,41,40,45,37,43,45,43,43,41,43,47,45,43,45,44,42,45,43,44,41,4,2005-03-16
142.7,43,39,38,42,48,41,41,45,37,43,44,39,43,42,44,48,43,44,45,44,42,45,41,43,41,5,2005-03-16
167,41,39,38,41,46,42,43,45,36,43,40,39,43,43,43,48,41,45,45,46,42,45,41,43,40,6,2005-03-16
166.1,41,41,39,42,46,40,45,45,36,43,40,39,41,45,41,47,43,47,43,47,42,43,43,41,40,7,2005-03-16
154.6,41,41,39,41,45,40,45,45,36,43,39,37,41,45,41,45,41,49,41,46,43,45,43,40,40,8,2005-03-16
152.7,41,37,39,41,43,39,45,45,36,41,39,37,37,45,40,45,43,47,41,45,43,45,43,39,40,9,2005-03-16
152.9,39,37,38,41,43,42,45,45,36,43,41,37,37,46,39,45,41,46,41,46,44,43,43,39,40,10,2005-03-16
153.3,39,37,38,41,43,40,43,45,36,43,41,37,37,45,39,44,41,44,43,45,44,41,43,40,39,11,2005-03-16
153.8,38,37,38,41,43,39,41,43,36,41,40,37,37,42,39,45,41,42,41,41,43,41,41,40,39,12,2005-03-16
155,48,37,38,41,43,39,40,45,36,39,40,37,36,42,39,44,41,42,41,41,40,41,41,40,38,13,2005-03-16
159.4,57,37,37,41,45,37,39,43,36,39,38,37,36,40,39,43,41,42,39,41,38,41,41,40,38,14,2005-03-16
165.8,57,37,37,41,41,36,40,41,36,39,37,37,35,42,37,43,39,43,39,41,37,39,41,38,37,15,2005-03-16
177,57,37,37,39,41,37,39,41,36,37,36,37,34,44,37,42,39,43,37,41,37,39,41,37,37,16,2005-03-16
188.5,55,37,37,39,41,36,39,43,36,37,36,36,32,44,36,42,39,43,37,41,37,37,39,37,36,17,2005-03-16
202.1,52,34,37,38,41,35,40,41,36,37,35,36,32,44,35,42,39,44,37,40,36,37,37,36,35,18,2005-03-16
203.1,48,34,36,38,41,36,39,41,36,37,35,36,32,44,36,40,38,44,37,40,36,37,37,35,35,19,2005-03-16
199.3,46,34,36,38,41,36,39,41,36,37,35,35,34,42,35,40,45,43,37,40,37,37,37,36,35,20,2005-03-16
190.7,44,34,36,37,41,37,39,41,36,36,35,35,32,42,35,40,44,43,37,40,37,37,37,36,35,21,2005-03-16
175.8,43,36,36,37,39,37,39,39,36,36,35,35,32,41,35,40,42,43,37,40,37,37,37,35,35,22,2005-03-16
161.9,42,37,35,37,39,37,39,41,36,36,34,35,34,42,35,39,41,43,37,40,37,37,37,35,35,23,2005-03-16
153.5,41,37,35,36,37,37,39,39,32,36,34,35,32,43,35,39,38,43,37,40,39,37,37,35,35,0,2005-03-17
151,39,37,35,36,37,37,39,39,32,37,34,35,32,44,35,40,36,42,37,40,40,37,36,35,35,1,2005-03-17
150.6,38,37,34,36,37,37,39,39,32,37,34,34,32,44,34,40,36,43,37,40,39,37,36,35,36,2,2005-03-17
151.4,37,37,34,35,37,38,39,37,32,37,34,34,32,44,34,40,36,44,36,40,38,37,36,35,36,3,2005-03-17
156.6,36,37,32,35,37,38,39,30,32,36,33,34,32,44,34,40,36,44,36,40,39,37,36,35,35,4,2005-03-17
169.4,36,34,32,35,37,37,39,37,32,36,33,34,32,44,34,39,34,43,36,39,37,37,36,35,35,5,2005-03-17
194.5,35,34,32,35,37,36,39,37,32,36,33,34,32,44,33,39,36,43,36,39,36,37,36,35,35,6,2005-03-17
196.5,35,34,32,35,37,35,39,37,32,37,33,34,32,44,33,39,36,43,36,39,38,37,37,34,34,7,2005-03-17
188,37,34,32,35,37,37,39,41,36,37,33,34,34,43,34,39,36,43,37,39,38,37,37,34,33,8,2005-03-17
185.7,38,34,33,35,37,38,39,41,36,37,34,34,34,43,34,40,36,42,37,40,39,37,37,34,35,9,2005-03-17
183.1,39,36,34,36,41,38,39,41,36,36,34,34,36,43,36,41,37,42,40,40,40,37,37,36,36,10,2005-03-17
180.2,40,37,35,37,41,38,39,41,36,37,35,36,36,43,35,41,37,42,39,40,38,37,37,36,36,11,2005-03-17
176.1,41,37,35,38,41,39,40,41,37,37,36,36,36,43,35,41,37,42,41,40,37,39,37,36,36,12,2005-03-17
174.4,42,37,35,38,39,38,40,41,37,37,37,36,36,43,36,40,38,42,43,40,36,41,37,36,37,13,2005-03-17
174.6,42,37,37,38,37,36,40,41,37,37,37,36,36,43,36,40,38,42,43,40,36,39,37,36,37,14,2005-03-17
179.5,42,37,38,38,37,36,40,41,37,37,37,36,36,41,36,39,39,41,45,40,36,37,37,36,37,15,2005-03-17
188.3,42,37,37,38,39,36,39,41,37,37,38,36,36,41,36,40,39,41,45,39,37,37,37,36,36,16,2005-03-17
196.3,41,37,37,38,39,35,37,43,36,37,37,36,36,40,36,39,39,39,45,39,37,37,37,36,36,17,2005-03-17
206.9,40,37,36,37,37,35,37,39,36,37,37,36,36,40,36,39,37,38,43,38,37,37,37,36,36,18,2005-03-17
207.6,36,37,36,37,37,34,37,39,36,36,37,36,41,40,36,38,37,38,43,37,37,37,37,35,35,19,2005-03-17
202.9,42,37,35,37,37,35,37,39,36,36,36,36,34,40,36,38,39,38,37,38,37,37,37,35,35,20,2005-03-17
192,35,37,32,36,37,36,36,39,36,36,35,34,34,40,35,38,36,39,36,37,38,37,37,35,36,21,2005-03-17
175.5,35,37,31,34,37,37,36,39,36,36,34,34,32,40,34,38,32,38,36,36,38,37,37,35,36,22,2005-03-17
160.6,34,37,31,33,37,38,36,37,32,36,33,30,32,41,33,37,30,37,34,36,38,37,37,34,36,23,2005-03-17
152.2,32,37,30,32,37,38,36,37,32,36,32,28,32,41,33,37,30,38,34,36,38,37,36,33,36,0,2005-03-18
148.7,32,37,28,31,37,38,37,37,34,36,32,28,32,42,32,37,30,39,32,37,39,37,36,33,35,1,2005-03-18
148.5,32,34,27,31,37,38,38,37,28,37,32,28,32,42,32,37,30,40,32,37,39,37,34,32,35,2,2005-03-18
150,32,34,28,31,37,38,38,36,30,37,31,28,32,42,32,38,28,41,31,37,39,37,34,31,33,3,2005-03-18
155.8,32,34,28,31,37,37,39,39,27,36,32,28,32,42,31,38,30,41,31,38,38,37,32,31,32,4,2005-03-18
170.2,30,32,28,31,37,37,39,39,30,36,30,28,35,43,31,38,28,41,30,38,38,36,32,31,31,5,2005-03-18
194.6,32,32,28,29,37,37,39,38,30,36,29,28,30,44,32,39,25,41,30,39,39,36,32,31,32,6,2005-03-18
186.7,34,37,29,35,39,39,40,41,35,36,34,30,36,43,37,40,32,42,36,39,41,37,36,35,36,7,2005-03-18
160.3,39,41,30,41,43,43,43,43,36,39,39,36,39,45,42,42,39,44,43,42,42,45,43,39,42,8,2005-03-18
141.7,33,46,33,45,48,48,47,37,40,45,43,41,43,46,46,46,45,46,46,45,44,46,46,44,47,9,2005-03-18
127.9,34,48,41,49,48,50,51,37,45,48,46,48,33,46,50,49,48,47,52,49,45,54,52,49,50,10,2005-03-18
117.6,35,52,46,51,49,52,53,37,49,52,50,48,34,47,53,51,52,50,52,53,47,54,54,52,53,11,2005-03-18
108.6,36,54,49,54,49,52,55,38,52,55,52,54,34,47,55,53,55,52,52,57,48,57,55,54,55,12,2005-03-18
102.4,37,57,50,57,49,53,56,38,54,57,55,54,35,47,56,55,57,52,52,56,49,61,57,57,57,13,2005-03-18
97.6,37,57,52,57,49,54,56,38,54,59,55,54,35,47,57,56,55,52,52,57,51,61,59,57,58,14,2005-03-18
95.9,37,57,51,57,49,53,56,38,54,57,55,54,35,48,58,57,57,52,52,56,52,59,59,58,58,15,2005-03-18
98.9,37,57,51,57,49,52,55,38,35,57,56,54,35,47,56,53,58,51,52,56,52,59,57,56,57,16,2005-03-18
108.2,37,52,50,55,49,47,53,38,33,55,53,54,35,45,53,52,55,49,52,54,50,55,57,54,53,17,2005-03-18
129.6,36,46,47,52,50,43,50,38,38,50,50,45,35,45,46,51,48,48,52,51,46,54,54,49,46,18,2005-03-18
142.1,35,46,44,48,50,42,48,39,45,46,47,41,42,44,42,51,43,47,46,50,45,52,43,46,42,19,2005-03-18
146.7,34,45,38,48,50,41,45,41,43,43,45,39,41,44,40,50,39,47,43,49,45,45,39,42,38,20,2005-03-18
148.5,41,39,35,43,50,38,46,42,41,43,44,37,41,45,37,50,37,47,43,49,42,41,39,41,36,21,2005-03-18
146.3,40,37,32,41,43,36,45,44,39,45,37,37,41,45,35,49,36,47,39,48,39,39,37,39,36,22,2005-03-18
140.9,37,37,31,37,45,35,45,45,39,41,41,37,37,45,34,48,34,46,37,47,38,41,36,35,34,23,2005-03-18
136.7,36,34,30,42,48,34,44,46,39,37,41,34,37,45,34,47,32,47,37,47,35,41,39,36,33,0,2005-03-19
135.9,34,34,29,41,48,33,45,46,39,39,38,34,41,46,33,45,32,47,37,47,36,37,36,34,32,1,2005-03-19
137.3,34,32,28,37,48,31,45,46,39,39,35,30,37,47,32,44,30,47,36,47,37,41,34,34,32,2,2005-03-19
139.9,32,32,28,40,48,33,45,46,39,39,34,30,36,46,32,45,30,47,34,46,37,39,32,32,32,3,2005-03-19
144.2,32,32,28,34,48,35,45,46,36,39,34,30,36,45,31,45,30,47,34,46,35,37,32,31,32,4,2005-03-19
152,32,32,26,33,48,36,46,46,36,41,32,28,32,45,29,45,28,47,32,46,37,37,34,29,32,5,2005-03-19
160,32,32,26,32,48,37,46,46,36,41,32,28,33,46,30,45,30,48,34,46,37,41,34,31,33,6,2005-03-19
166.8,37,37,31,38,48,43,48,48,43,45,38,35,43,49,39,48,37,53,39,50,43,46,37,37,40,7,2005-03-19
157.5,41,46,36,44,52,48,51,50,43,50,48,41,50,53,47,51,46,55,48,56,48,54,45,46,50,8,2005-03-19
144.3,50,54,44,53,50,54,55,52,48,54,53,48,54,57,52,55,55,55,52,58,51,55,54,55,55,9,2005-03-19
130.4,54,57,49,56,54,55,58,54,50,57,55,54,57,56,55,61,57,55,55,59,52,58,57,56,58,10,2005-03-19
119.7,55,59,50,58,52,57,60,59,50,57,56,55,59,55,58,61,57,56,59,61,57,61,57,58,60,11,2005-03-19
111.7,59,59,52,59,54,57,58,55,54,59,57,55,61,56,59,60,57,59,61,58,59,64,59,59,59,12,2005-03-19
106.9,59,61,53,59,57,58,55,55,52,62,59,56,61,54,61,59,57,58,61,58,59,61,59,61,59,13,2005-03-19
104.8,60,59,54,59,59,56,57,60,55,57,59,56,59,53,60,57,57,58,59,58,57,61,59,60,60,14,2005-03-19
107.3,57,57,53,59,59,54,57,57,54,54,59,56,59,52,59,57,57,56,57,56,54,59,57,59,58,15,2005-03-19
113.3,57,57,53,59,55,52,53,57,52,54,57,57,57,54,57,57,57,54,57,55,53,55,57,58,56,16,2005-03-19
119.3,55,54,51,57,54,51,52,57,50,54,56,57,56,53,56,55,57,53,56,54,52,55,57,56,54,17,2005-03-19
131.7,54,52,49,55,54,50,52,55,46,52,55,55,54,50,54,54,55,55,55,53,51,54,55,55,51,18,2005-03-19
136.7,52,52,45,54,54,51,50,55,45,52,54,55,50,50,54,53,54,56,55,51,50,54,54,53,50,19,2005-03-19
135.2,52,52,44,52,54,50,50,55,45,50,53,55,46,50,53,53,48,56,52,51,50,54,52,51,49,20,2005-03-19
130.5,46,52,41,51,54,49,49,54,45,50,52,54,46,50,52,52,45,56,52,51,50,54,52,52,48,21,2005-03-19
123.6,46,48,41,47,54,48,49,50,45,50,50,52,45,50,51,51,41,56,52,50,50,52,52,51,47,22,2005-03-19
114.6,45,46,39,47,52,49,49,52,45,50,48,50,45,50,50,48,37,56,48,50,49,52,50,50,46,23,2005-03-19
106.5,43,46,35,45,50,47,47,52,43,50,45,45,45,50,45,49,36,57,45,49,46,50,46,48,46,0,2005-03-20
102.1,39,46,33,45,48,48,47,48,43,46,44,43,43,51,42,49,36,58,41,47,45,48,43,46,44,1,2005-03-20
100.1,37,46,31,43,48,48,48,46,46,46,42,43,41,50,40,48,34,55,39,49,45,48,41,42,42,2,2005-03-20
100.4,37,46,30,42,45,48,49,43,45,43,41,41,41,50,39,47,34,52,37,49,45,48,41,40,40,3,2005-03-20
102.1,41,46,30,40,43,48,49,43,46,41,42,41,37,51,38,47,32,51,37,49,45,48,39,38,37,4,2005-03-20
106.8,39,46,28,39,41,48,48,41,46,41,37,37,37,50,41,46,32,52,36,46,45,45,37,37,36,5,2005-03-20
113.4,38,46,29,37,41,47,48,41,46,41,38,36,37,50,44,45,32,52,36,46,45,46,37,36,41,6,2005-03-20
127.5,48,48,33,44,48,47,48,46,46,43,46,45,44,50,47,46,39,54,46,47,46,48,43,44,43,7,2005-03-20
139.2,52,48,45,52,55,48,49,54,46,46,52,54,50,52,54,50,52,53,54,49,48,50,54,52,45,8,2005-03-20
137.6,59,52,50,57,61,50,51,61,48,50,58,57,55,55,59,58,57,54,55,52,49,54,61,58,48,9,2005-03-20
122.9,64,52,54,62,60,52,53,64,52,55,60,61,61,54,63,61,61,56,61,60,51,54,64,63,55,10,2005-03-20
109.1,66,55,56,63,60,54,59,65,55,61,62,63,63,61,64,64,64,58,63,63,55,61,66,66,59,11,2005-03-20
103.5,68,57,58,67,60,56,63,65,55,64,64,64,61,57,65,65,64,63,63,65,58,64,68,66,62,12,2005-03-20
99.9,61,61,60,67,59,57,63,66,57,57,63,66,63,56,67,67,64,61,64,66,60,66,70,69,63,13,2005-03-20
95.4,62,63,62,67,59,58,66,66,57,58,64,66,64,57,65,66,68,61,66,65,54,66,72,69,64,14,2005-03-20
91.8,62,64,61,68,58,59,66,67,57,59,65,68,64,59,67,65,68,58,66,64,55,66,70,68,68,15,2005-03-20
90.4,62,64,59,67,58,60,65,67,57,59,63,66,63,60,65,65,68,56,64,60,55,66,70,67,67,16,2005-03-20
93.2,66,61,58,64,58,57,60,68,55,64,62,64,63,50,62,62,64,54,64,58,54,64,66,64,63,17,2005-03-20
106.6,58,54,53,59,57,55,55,63,54,59,59,55,59,48,53,58,63,52,59,54,54,59,61,58,59,18,2005-03-20
119.1,54,52,51,55,55,50,52,61,51,54,54,54,57,46,50,56,50,52,54,55,51,54,55,54,48,19,2005-03-20
121.1,52,46,48,54,54,50,50,57,48,50,56,52,54,45,48,55,52,52,54,53,50,52,52,47,48,20,2005-03-20
118.4,50,52,48,52,54,48,50,55,48,50,51,48,50,44,53,55,48,53,52,52,52,48,48,53,44,21,2005-03-20
110,49,54,46,53,52,49,48,54,48,51,50,52,46,48,51,54,48,54,52,52,47,48,48,52,51,22,2005-03-20
100.7,48,52,48,48,50,48,49,54,48,52,48,52,45,52,49,52,45,53,48,51,48,52,48,50,50,23,2005-03-20
94.9,47,48,45,52,50,48,50,52,48,54,47,52,43,51,47,52,45,51,48,51,47,52,50,48,47,0,2005-03-21
94.4,46,46,42,49,46,47,51,54,48,50,44,52,41,52,45,52,45,51,45,51,45,46,48,47,47,1,2005-03-21
96.5,45,46,39,50,52,46,50,52,43,50,43,48,39,51,42,51,45,51,39,51,45,46,48,43,45,2,2005-03-21
102.3,44,39,39,47,52,44,49,50,41,48,42,46,39,49,40,51,46,50,43,50,45,45,46,41,41,3,2005-03-21
111.4,43,39,38,47,52,44,47,50,39,46,41,46,36,47,39,50,43,49,37,49,45,45,43,39,40,4,2005-03-21
129.5,43,37,33,46,50,41,46,46,43,45,40,45,34,47,37,49,43,48,37,47,44,43,41,38,37,5,2005-03-21
157.8,42,37,33,45,46,44,46,46,43,43,41,45,34,47,37,49,41,47,37,47,45,41,39,36,36,6,2005-03-21
156,42,45,36,48,50,45,46,50,45,46,44,48,43,48,47,49,48,49,46,47,47,46,46,44,44,7,2005-03-21
133.4,49,50,44,51,52,49,49,52,48,50,48,52,48,48,51,53,52,49,52,49,48,54,52,49,50,8,2005-03-21
118.2,55,52,51,53,54,53,52,57,52,55,50,54,54,51,54,57,54,53,55,52,50,54,55,52,51,9,2005-03-21
107.6,60,54,53,57,59,54,54,61,55,55,53,55,55,51,58,60,57,56,57,54,51,59,57,56,54,10,2005-03-21
100.8,64,57,56,58,61,55,56,64,55,59,56,57,55,52,58,61,57,57,59,58,50,59,59,57,57,11,2005-03-21
95.4,67,57,57,59,66,56,59,66,57,61,60,61,59,52,60,61,61,59,61,61,51,61,61,60,58,12,2005-03-21
92,69,59,58,62,66,55,60,68,61,61,61,61,59,53,60,58,63,57,61,63,51,61,64,62,59,13,2005-03-21
89.6,70,59,61,61,66,55,62,70,61,63,62,63,61,53,62,58,64,58,60,66,51,64,66,65,61,14,2005-03-21
88.3,70,61,60,61,66,53,63,68,61,63,62,63,61,53,63,57,64,56,59,59,50,64,64,63,62,15,2005-03-21
92.2,70,61,59,61,64,51,61,68,61,63,63,63,59,51,62,56,64,53,59,58,50,61,64,62,61,16,2005-03-21
100.4,67,57,58,59,59,49,56,64,57,61,60,61,59,48,58,54,61,52,58,54,48,61,64,61,60,17,2005-03-21
121.2,64,52,53,56,55,44,52,63,55,57,58,55,54,46,51,53,57,51,57,52,47,55,59,56,49,18,2005-03-21
137.1,60,46,50,50,55,44,49,59,52,54,55,52,48,46,47,54,50,52,61,51,45,54,52,51,45,19,2005-03-21
140.6,57,46,49,52,54,44,48,59,52,52,53,52,45,44,49,53,45,51,55,52,45,46,50,51,42,20,2005-03-21
138.5,55,46,43,50,52,42,45,55,50,52,49,46,45,43,46,52,43,51,55,51,43,48,43,48,40,21,2005-03-21
128.6,53,45,43,47,52,37,45,54,48,48,50,46,41,45,43,51,43,50,52,50,43,46,43,45,41,22,2005-03-21
119.3,52,43,43,51,50,42,45,52,46,45,48,45,41,44,41,49,41,48,52,48,39,46,43,43,39,23,2005-03-21
114,51,39,41,49,52,42,44,50,46,43,48,43,41,46,42,50,39,46,48,48,40,45,41,42,43,0,2005-03-22
113.8,49,39,39,44,52,41,44,50,45,43,46,45,41,47,46,51,45,46,46,46,43,45,41,45,41,1,2005-03-22
115.3,48,37,39,48,52,41,44,50,43,43,43,52,37,47,42,53,45,47,46,46,43,45,41,42,41,2,2005-03-22
119,47,37,40,49,52,40,43,48,43,43,41,48,37,46,40,53,48,47,45,46,43,43,41,41,39,3,2005-03-22
127,46,37,42,48,52,38,45,50,37,45,40,45,37,46,40,51,48,47,45,46,43,41,41,41,39,4,2005-03-22
144.4,45,37,42,48,52,37,44,50,39,43,40,43,37,47,39,51,46,47,43,45,41,37,43,39,35,5,2005-03-22
169.6,44,37,43,47,52,41,44,48,39,43,39,41,39,48,40,49,45,48,43,47,42,45,43,40,39,6,2005-03-22
160.3,44,45,46,47,52,46,48,50,39,46,41,43,41,50,43,50,45,51,45,48,45,46,45,44,44,7,2005-03-22
